# doritrack schema=2 source=android transport=synthetic-wifi synthetic=true motion_event_precision_ns=1000000 driver_low_latency=unverified ap_wmm=unverified
# dropped=0 omitted_incidents=0 omitted_evidence=0
kind,at_ns,session,sequence,a,b,c,d,e,f,g,h
20,4799220000,7,475,4799000000,4799200000,1,1,64,0,0,0
21,4799310000,7,475,4799300000,4799220000,1,0,4799310000,0,4799299000,1
21,4799330000,7,475,4799320000,4799220000,2,0,4799330000,0,4799319000,1
22,4800200000,7,475,1,4792200000,1,4799220000,64,3800060000,0,0
23,4800200000,7,475,4799220000,4799000000,4799200000,1,4799299000,2,1,475
20,4807220000,7,476,4807000000,4807200000,1,1,64,0,0,0
21,4807310000,7,476,4807300000,4807220000,1,0,4807310000,0,4807299000,1
21,4807330000,7,476,4807320000,4807220000,2,0,4807330000,0,4807319000,1
22,4808200000,7,476,1,4800200000,1,4807220000,64,3808060000,0,0
23,4808200000,7,476,4807220000,4807000000,4807200000,1,4807299000,2,1,476
20,4815220000,7,477,4815000000,4815200000,1,1,64,0,0,0
21,4815310000,7,477,4815300000,4815220000,1,0,4815310000,0,4815299000,1
21,4815330000,7,477,4815320000,4815220000,2,0,4815330000,0,4815319000,1
22,4816200000,7,477,1,4808200000,1,4815220000,64,3816060000,0,0
23,4816200000,7,477,4815220000,4815000000,4815200000,1,4815299000,2,1,477
20,4823220000,7,478,4823000000,4823200000,1,1,64,0,0,0
21,4823310000,7,478,4823300000,4823220000,1,0,4823310000,0,4823299000,1
21,4823330000,7,478,4823320000,4823220000,2,0,4823330000,0,4823319000,1
22,4824200000,7,478,1,4816200000,1,4823220000,64,3824060000,0,0
23,4824200000,7,478,4823220000,4823000000,4823200000,1,4823299000,2,1,478
20,4831220000,7,479,4831000000,4831200000,1,1,64,0,0,0
21,4831310000,7,479,4831300000,4831220000,1,0,4831310000,0,4831299000,1
21,4831330000,7,479,4831320000,4831220000,2,0,4831330000,0,4831319000,1
22,4832200000,7,479,1,4824200000,1,4831220000,64,3832060000,0,0
23,4832200000,7,479,4831220000,4831000000,4831200000,1,4831299000,2,1,479
20,4839220000,7,480,4839000000,4839200000,3,1,64,0,0,0
21,4839310000,7,480,4839300000,4839220000,1,0,4839310000,0,4839299000,3
21,4839330000,7,480,4839320000,4839220000,2,0,4839330000,0,4839319000,3
22,4840200000,7,480,1,4832200000,1,4839220000,64,3840060000,0,0
23,4840200000,7,480,4839220000,4839000000,4839200000,3,4839299000,2,1,480
20,4847220000,7,481,4847000000,4847200000,1,1,64,0,0,0
21,4847310000,7,481,4847300000,4847220000,1,0,4847310000,0,4847299000,1
21,4847330000,7,481,4847320000,4847220000,2,0,4847330000,0,4847319000,1
22,4848200000,7,481,1,4840200000,1,4847220000,64,3848060000,0,0
23,4848200000,7,481,4847220000,4847000000,4847200000,1,4847299000,2,1,481
20,4855220000,7,482,4855000000,4855200000,1,1,64,0,0,0
21,4855310000,7,482,4855300000,4855220000,1,0,4855310000,0,4855299000,1
21,4855330000,7,482,4855320000,4855220000,2,0,4855330000,0,4855319000,1
22,4856200000,7,482,1,4848200000,1,4855220000,64,3856060000,0,0
23,4856200000,7,482,4855220000,4855000000,4855200000,1,4855299000,2,1,482
20,4863220000,7,483,4863000000,4863200000,1,1,64,0,0,0
21,4863310000,7,483,4863300000,4863220000,1,0,4863310000,0,4863299000,1
21,4863330000,7,483,4863320000,4863220000,2,0,4863330000,0,4863319000,1
22,4864200000,7,483,1,4856200000,1,4863220000,64,3864060000,0,0
23,4864200000,7,483,4863220000,4863000000,4863200000,1,4863299000,2,1,483
20,4871220000,7,484,4871000000,4871200000,1,1,64,0,0,0
21,4871310000,7,484,4871300000,4871220000,1,0,4871310000,0,4871299000,1
21,4871330000,7,484,4871320000,4871220000,2,0,4871330000,0,4871319000,1
22,4872200000,7,484,1,4864200000,1,4871220000,64,3872060000,0,0
23,4872200000,7,484,4871220000,4871000000,4871200000,1,4871299000,2,1,484
20,4879220000,7,485,4879000000,4879200000,1,1,64,0,0,0
21,4879310000,7,485,4879300000,4879220000,1,0,4879310000,0,4879299000,1
21,4879330000,7,485,4879320000,4879220000,2,0,4879330000,0,4879319000,1
22,4880200000,7,485,1,4872200000,1,4879220000,64,3880060000,0,0
23,4880200000,7,485,4879220000,4879000000,4879200000,1,4879299000,2,1,485
20,4887220000,7,486,4887000000,4887200000,1,1,64,0,0,0
21,4887310000,7,486,4887300000,4887220000,1,0,4887310000,0,4887299000,1
21,4887330000,7,486,4887320000,4887220000,2,0,4887330000,0,4887319000,1
22,4888200000,7,486,1,4880200000,1,4887220000,64,3888060000,0,0
23,4888200000,7,486,4887220000,4887000000,4887200000,1,4887299000,2,1,486
20,4895220000,7,487,4895000000,4895200000,1,1,64,0,0,0
21,4895310000,7,487,4895300000,4895220000,1,0,4895310000,0,4895299000,1
21,4895330000,7,487,4895320000,4895220000,2,0,4895330000,0,4895319000,1
22,4896200000,7,487,1,4888200000,1,4895220000,64,3896060000,0,0
23,4896200000,7,487,4895220000,4895000000,4895200000,1,4895299000,2,1,487
20,4903220000,7,488,4903000000,4903200000,1,1,64,0,0,0
21,4903310000,7,488,4903300000,4903220000,1,0,4903310000,0,4903299000,1
21,4903330000,7,488,4903320000,4903220000,2,0,4903330000,0,4903319000,1
22,4904200000,7,488,1,4896200000,1,4903220000,64,3904060000,0,0
23,4904200000,7,488,4903220000,4903000000,4903200000,1,4903299000,2,1,488
20,4911220000,7,489,4911000000,4911200000,1,1,64,0,0,0
21,4911310000,7,489,4911300000,4911220000,1,0,4911310000,0,4911299000,1
21,4911330000,7,489,4911320000,4911220000,2,0,4911330000,0,4911319000,1
22,4912200000,7,489,1,4904200000,1,4911220000,64,3912060000,0,0
23,4912200000,7,489,4911220000,4911000000,4911200000,1,4911299000,2,1,489
20,4919220000,7,490,4919000000,4919200000,1,1,64,0,0,0
21,4919310000,7,490,4919300000,4919220000,1,0,4919310000,0,4919299000,1
21,4919330000,7,490,4919320000,4919220000,2,0,4919330000,0,4919319000,1
22,4920200000,7,490,1,4912200000,1,4919220000,64,3920060000,0,0
23,4920200000,7,490,4919220000,4919000000,4919200000,1,4919299000,2,1,490
20,4927220000,7,491,4927000000,4927200000,1,1,64,0,0,0
21,4927310000,7,491,4927300000,4927220000,1,0,4927310000,0,4927299000,1
21,4927330000,7,491,4927320000,4927220000,2,0,4927330000,0,4927319000,1
22,4928200000,7,491,1,4920200000,1,4927220000,64,3928060000,0,0
23,4928200000,7,491,4927220000,4927000000,4927200000,1,4927299000,2,1,491
20,4935220000,7,492,4935000000,4935200000,1,1,64,0,0,0
21,4935310000,7,492,4935300000,4935220000,1,0,4935310000,0,4935299000,1
21,4935330000,7,492,4935320000,4935220000,2,0,4935330000,0,4935319000,1
22,4936200000,7,492,1,4928200000,1,4935220000,64,3936060000,0,0
23,4936200000,7,492,4935220000,4935000000,4935200000,1,4935299000,2,1,492
20,4943220000,7,493,4943000000,4943200000,1,1,64,0,0,0
21,4943310000,7,493,4943300000,4943220000,1,0,4943310000,0,4943299000,1
21,4943330000,7,493,4943320000,4943220000,2,0,4943330000,0,4943319000,1
22,4944200000,7,493,1,4936200000,1,4943220000,64,3944060000,0,0
23,4944200000,7,493,4943220000,4943000000,4943200000,1,4943299000,2,1,493
20,4951220000,7,494,4951000000,4951200000,1,1,64,0,0,0
21,4951310000,7,494,4951300000,4951220000,1,0,4951310000,0,4951299000,1
21,4951330000,7,494,4951320000,4951220000,2,0,4951330000,0,4951319000,1
22,4952200000,7,494,1,4944200000,1,4951220000,64,3952060000,0,0
23,4952200000,7,494,4951220000,4951000000,4951200000,1,4951299000,2,1,494
20,4959220000,7,495,4959000000,4959200000,1,1,64,0,0,0
21,4959310000,7,495,4959300000,4959220000,1,0,4959310000,0,4959299000,1
21,4959330000,7,495,4959320000,4959220000,2,0,4959330000,0,4959319000,1
22,4960200000,7,495,1,4952200000,1,4959220000,64,3960060000,0,0
23,4960200000,7,495,4959220000,4959000000,4959200000,1,4959299000,2,1,495
20,4967220000,7,496,4967000000,4967200000,3,1,64,0,0,0
21,4967310000,7,496,4967300000,4967220000,1,0,4967310000,0,4967299000,3
21,4967330000,7,496,4967320000,4967220000,2,0,4967330000,0,4967319000,3
22,4968200000,7,496,1,4960200000,1,4967220000,64,3968060000,0,0
23,4968200000,7,496,4967220000,4967000000,4967200000,3,4967299000,2,1,496
20,4975220000,7,497,4975000000,4975200000,1,1,64,0,0,0
21,4975310000,7,497,4975300000,4975220000,1,0,4975310000,0,4975299000,1
21,4975330000,7,497,4975320000,4975220000,2,0,4975330000,0,4975319000,1
22,4976200000,7,497,1,4968200000,1,4975220000,64,3976060000,0,0
23,4976200000,7,497,4975220000,4975000000,4975200000,1,4975299000,2,1,497
20,4983220000,7,498,4983000000,4983200000,1,1,64,0,0,0
21,4983310000,7,498,4983300000,4983220000,1,0,4983310000,0,4983299000,1
21,4983330000,7,498,4983320000,4983220000,2,0,4983330000,0,4983319000,1
22,4984200000,7,498,1,4976200000,1,4983220000,64,3984060000,0,0
23,4984200000,7,498,4983220000,4983000000,4983200000,1,4983299000,2,1,498
20,4991220000,7,499,4991000000,4991200000,1,1,64,0,0,0
21,4991310000,7,499,4991300000,4991220000,1,0,4991310000,0,4991299000,1
21,4991330000,7,499,4991320000,4991220000,2,0,4991330000,0,4991319000,1
22,4992200000,7,499,1,4984200000,1,4991220000,64,3992060000,0,0
23,4992200000,7,499,4991220000,4991000000,4991200000,1,4991299000,2,1,499
20,4999220000,7,500,4999000000,4999200000,1,1,64,0,0,0
21,4999310000,7,500,4999300000,4999220000,1,0,4999310000,0,4999299000,1
21,4999330000,7,500,4999320000,4999220000,2,0,4999330000,0,4999319000,1
21,5001330000,7,500,5001320000,4999220000,3,0,5001330000,0,5001319000,1
20,5007220000,7,501,5007000000,5007200000,1,1,64,0,0,0
21,5007310000,7,501,5007300000,5007220000,1,0,5007310000,0,5007299000,1
21,5007330000,7,501,5007320000,5007220000,2,0,5007330000,0,5007319000,1
22,5012200000,7,500,1,5004200000,1,4999220000,64,4012060000,0,0
23,5012200000,7,500,4999220000,4999000000,4999200000,1,4999299000,3,1,500
22,5012200000,7,501,1,5004200000,1,5007220000,64,4012110000,0,0
23,5012200000,7,501,5007220000,5007000000,5007200000,1,5007299000,2,1,501
20,5015220000,7,502,5015000000,5015200000,1,1,64,0,0,0
21,5015310000,7,502,5015300000,5015220000,1,0,5015310000,0,5015299000,1
21,5015330000,7,502,5015320000,5015220000,2,0,5015330000,0,5015319000,1
22,5016200000,7,502,1,5008200000,1,5015220000,64,4016060000,0,0
23,5016200000,7,502,5015220000,5015000000,5015200000,1,5015299000,2,1,502
20,5023220000,7,503,5023000000,5023200000,1,1,64,0,0,0
21,5023310000,7,503,5023300000,5023220000,1,0,5023310000,0,5023299000,1
21,5023330000,7,503,5023320000,5023220000,2,0,5023330000,0,5023319000,1
22,5024200000,7,503,1,5016200000,1,5023220000,64,4024060000,0,0
23,5024200000,7,503,5023220000,5023000000,5023200000,1,5023299000,2,1,503
20,5031220000,7,504,5031000000,5031200000,1,1,64,0,0,0
21,5031310000,7,504,5031300000,5031220000,1,0,5031310000,0,5031299000,1
21,5031330000,7,504,5031320000,5031220000,2,0,5031330000,0,5031319000,1
22,5032200000,7,504,1,5024200000,1,5031220000,64,4032060000,0,0
23,5032200000,7,504,5031220000,5031000000,5031200000,1,5031299000,2,1,504
20,5039220000,7,505,5039000000,5039200000,1,1,64,0,0,0
21,5039310000,7,505,5039300000,5039220000,1,0,5039310000,0,5039299000,1
21,5039330000,7,505,5039320000,5039220000,2,0,5039330000,0,5039319000,1
22,5040200000,7,505,1,5032200000,1,5039220000,64,4040060000,0,0
23,5040200000,7,505,5039220000,5039000000,5039200000,1,5039299000,2,1,505
21,6391330000,7,674,6391320000,6391220000,2,0,6391330000,0,6391319000,1
22,6392200000,7,674,1,6384200000,1,6391220000,64,5392060000,0,0
23,6392200000,7,674,6391220000,6391000000,6391200000,1,6391299000,2,1,674
20,6399220000,7,675,6399000000,6399200000,1,1,64,0,0,0
21,6399310000,7,675,6399300000,6399220000,1,0,6399310000,0,6399299000,1
21,6399330000,7,675,6399320000,6399220000,2,0,6399330000,0,6399319000,1
22,6400200000,7,675,1,6392200000,1,6399220000,64,5400060000,0,0
23,6400200000,7,675,6399220000,6399000000,6399200000,1,6399299000,2,1,675
20,6407220000,7,676,6407000000,6407200000,1,1,64,0,0,0
21,6407310000,7,676,6407300000,6407220000,1,0,6407310000,0,6407299000,1
21,6407330000,7,676,6407320000,6407220000,2,0,6407330000,0,6407319000,1
22,6408200000,7,676,1,6400200000,1,6407220000,64,5408060000,0,0
23,6408200000,7,676,6407220000,6407000000,6407200000,1,6407299000,2,1,676
20,6415220000,7,677,6415000000,6415200000,1,1,64,0,0,0
21,6415310000,7,677,6415300000,6415220000,1,0,6415310000,0,6415299000,1
21,6415330000,7,677,6415320000,6415220000,2,0,6415330000,0,6415319000,1
22,6416200000,7,677,1,6408200000,1,6415220000,64,5416060000,0,0
23,6416200000,7,677,6415220000,6415000000,6415200000,1,6415299000,2,1,677
20,6423220000,7,678,6423000000,6423200000,1,1,64,0,0,0
21,6423310000,7,678,6423300000,6423220000,1,0,6423310000,0,6423299000,1
21,6423330000,7,678,6423320000,6423220000,2,0,6423330000,0,6423319000,1
22,6424200000,7,678,1,6416200000,1,6423220000,64,5424060000,0,0
23,6424200000,7,678,6423220000,6423000000,6423200000,1,6423299000,2,1,678
20,6431220000,7,679,6431000000,6431200000,1,1,64,0,0,0
21,6431310000,7,679,6431300000,6431220000,1,0,6431310000,0,6431299000,1
21,6431330000,7,679,6431320000,6431220000,2,0,6431330000,0,6431319000,1
22,6432200000,7,679,1,6424200000,1,6431220000,64,5432060000,0,0
23,6432200000,7,679,6431220000,6431000000,6431200000,1,6431299000,2,1,679
20,6439220000,7,680,6439000000,6439200000,1,1,64,0,0,0
21,6439310000,7,680,6439300000,6439220000,1,0,6439310000,0,6439299000,1
21,6439330000,7,680,6439320000,6439220000,2,0,6439330000,0,6439319000,1
22,6440200000,7,680,1,6432200000,1,6439220000,64,5440060000,0,0
23,6440200000,7,680,6439220000,6439000000,6439200000,1,6439299000,2,1,680
20,6447220000,7,681,6447000000,6447200000,1,1,64,0,0,0
21,6447310000,7,681,6447300000,6447220000,1,0,6447310000,0,6447299000,1
21,6447330000,7,681,6447320000,6447220000,2,0,6447330000,0,6447319000,1
22,6448200000,7,681,1,6440200000,1,6447220000,64,5448060000,0,0
23,6448200000,7,681,6447220000,6447000000,6447200000,1,6447299000,2,1,681
20,6455220000,7,682,6455000000,6455200000,1,1,64,0,0,0
21,6455310000,7,682,6455300000,6455220000,1,0,6455310000,0,6455299000,1
21,6455330000,7,682,6455320000,6455220000,2,0,6455330000,0,6455319000,1
22,6456200000,7,682,1,6448200000,1,6455220000,64,5456060000,0,0
23,6456200000,7,682,6455220000,6455000000,6455200000,1,6455299000,2,1,682
20,6463220000,7,683,6463000000,6463200000,1,1,64,0,0,0
21,6463310000,7,683,6463300000,6463220000,1,0,6463310000,0,6463299000,1
21,6463330000,7,683,6463320000,6463220000,2,0,6463330000,0,6463319000,1
22,6464200000,7,683,1,6456200000,1,6463220000,64,5464060000,0,0
23,6464200000,7,683,6463220000,6463000000,6463200000,1,6463299000,2,1,683
20,6471220000,7,684,6471000000,6471200000,1,1,64,0,0,0
21,6471310000,7,684,6471300000,6471220000,1,0,6471310000,0,6471299000,1
21,6471330000,7,684,6471320000,6471220000,2,0,6471330000,0,6471319000,1
22,6472200000,7,684,1,6464200000,1,6471220000,64,5472060000,0,0
23,6472200000,7,684,6471220000,6471000000,6471200000,1,6471299000,2,1,684
20,6479220000,7,685,6479000000,6479200000,1,1,64,0,0,0
21,6479310000,7,685,6479300000,6479220000,1,0,6479310000,0,6479299000,1
21,6479330000,7,685,6479320000,6479220000,2,0,6479330000,0,6479319000,1
22,6480200000,7,685,1,6472200000,1,6479220000,64,5480060000,0,0
23,6480200000,7,685,6479220000,6479000000,6479200000,1,6479299000,2,1,685
20,6487220000,7,686,6487000000,6487200000,1,1,64,0,0,0
21,6487310000,7,686,6487300000,6487220000,1,0,6487310000,0,6487299000,1
21,6487330000,7,686,6487320000,6487220000,2,0,6487330000,0,6487319000,1
22,6488200000,7,686,1,6480200000,1,6487220000,64,5488060000,0,0
23,6488200000,7,686,6487220000,6487000000,6487200000,1,6487299000,2,1,686
20,6495220000,7,687,6495000000,6495200000,1,1,64,0,0,0
21,6495310000,7,687,6495300000,6495220000,1,0,6495310000,0,6495299000,1
21,6495330000,7,687,6495320000,6495220000,2,0,6495330000,0,6495319000,1
22,6496200000,7,687,1,6488200000,1,6495220000,64,5496060000,0,0
23,6496200000,7,687,6495220000,6495000000,6495200000,1,6495299000,2,1,687
20,6503220000,7,688,6503000000,6503200000,3,1,64,0,0,0
21,6503310000,7,688,6503300000,6503220000,1,0,6503310000,0,6503299000,3
21,6503330000,7,688,6503320000,6503220000,2,0,6503330000,0,6503319000,3
22,6504200000,7,688,1,6496200000,1,6503220000,64,5504060000,0,0
23,6504200000,7,688,6503220000,6503000000,6503200000,3,6503299000,2,1,688
20,6511220000,7,689,6511000000,6511200000,1,1,64,0,0,0
21,6511310000,7,689,6511300000,6511220000,1,0,6511310000,0,6511299000,1
21,6511330000,7,689,6511320000,6511220000,2,0,6511330000,0,6511319000,1
22,6512200000,7,689,1,6504200000,1,6511220000,64,5512060000,0,0
23,6512200000,7,689,6511220000,6511000000,6511200000,1,6511299000,2,1,689
20,6519220000,7,690,6519000000,6519200000,1,1,64,0,0,0
21,6519310000,7,690,6519300000,6519220000,1,0,6519310000,0,6519299000,1
21,6519330000,7,690,6519320000,6519220000,2,0,6519330000,0,6519319000,1
22,6520200000,7,690,1,6512200000,1,6519220000,64,5520060000,0,0
23,6520200000,7,690,6519220000,6519000000,6519200000,1,6519299000,2,1,690
20,6527220000,7,691,6527000000,6527200000,1,1,64,0,0,0
21,6527310000,7,691,6527300000,6527220000,1,0,6527310000,0,6527299000,1
21,6527330000,7,691,6527320000,6527220000,2,0,6527330000,0,6527319000,1
22,6528200000,7,691,1,6520200000,1,6527220000,64,5528060000,0,0
23,6528200000,7,691,6527220000,6527000000,6527200000,1,6527299000,2,1,691
20,6535220000,7,692,6535000000,6535200000,1,1,64,0,0,0
21,6535310000,7,692,6535300000,6535220000,1,0,6535310000,0,6535299000,1
21,6535330000,7,692,6535320000,6535220000,2,0,6535330000,0,6535319000,1
22,6536200000,7,692,1,6528200000,1,6535220000,64,5536060000,0,0
23,6536200000,7,692,6535220000,6535000000,6535200000,1,6535299000,2,1,692
20,6543220000,7,693,6543000000,6543200000,1,1,64,0,0,0
21,6543310000,7,693,6543300000,6543220000,1,0,6543310000,0,6543299000,1
21,6543330000,7,693,6543320000,6543220000,2,0,6543330000,0,6543319000,1
22,6544200000,7,693,1,6536200000,1,6543220000,64,5544060000,0,0
23,6544200000,7,693,6543220000,6543000000,6543200000,1,6543299000,2,1,693
20,6551220000,7,694,6551000000,6551200000,1,1,64,0,0,0
21,6551310000,7,694,6551300000,6551220000,1,0,6551310000,0,6551299000,1
21,6551330000,7,694,6551320000,6551220000,2,0,6551330000,0,6551319000,1
22,6552200000,7,694,1,6544200000,1,6551220000,64,5552060000,0,0
23,6552200000,7,694,6551220000,6551000000,6551200000,1,6551299000,2,1,694
20,6559220000,7,695,6559000000,6559200000,1,1,64,0,0,0
21,6559310000,7,695,6559300000,6559220000,1,0,6559310000,0,6559299000,1
21,6559330000,7,695,6559320000,6559220000,2,0,6559330000,0,6559319000,1
22,6560200000,7,695,1,6552200000,1,6559220000,64,5560060000,0,0
23,6560200000,7,695,6559220000,6559000000,6559200000,1,6559299000,2,1,695
20,6567220000,7,696,6567000000,6567200000,1,1,64,0,0,0
21,6567310000,7,696,6567300000,6567220000,1,0,6567310000,0,6567299000,1
21,6567330000,7,696,6567320000,6567220000,2,0,6567330000,0,6567319000,1
22,6568200000,7,696,1,6560200000,1,6567220000,64,5568060000,0,0
23,6568200000,7,696,6567220000,6567000000,6567200000,1,6567299000,2,1,696
20,6575220000,7,697,6575000000,6575200000,1,1,64,0,0,0
21,6575310000,7,697,6575300000,6575220000,1,0,6575310000,0,6575299000,1
21,6575330000,7,697,6575320000,6575220000,2,0,6575330000,0,6575319000,1
22,6576200000,7,697,1,6568200000,1,6575220000,64,5576060000,0,0
23,6576200000,7,697,6575220000,6575000000,6575200000,1,6575299000,2,1,697
20,6583220000,7,698,6583000000,6583200000,1,1,64,0,0,0
21,6583310000,7,698,6583300000,6583220000,1,0,6583310000,0,6583299000,1
21,6583330000,7,698,6583320000,6583220000,2,0,6583330000,0,6583319000,1
22,6584200000,7,698,1,6576200000,1,6583220000,64,5584060000,0,0
23,6584200000,7,698,6583220000,6583000000,6583200000,1,6583299000,2,1,698
20,6591220000,7,699,6591000000,6591200000,1,1,64,0,0,0
21,6591310000,7,699,6591300000,6591220000,1,0,6591310000,0,6591299000,1
21,6591330000,7,699,6591320000,6591220000,2,0,6591330000,0,6591319000,1
22,6592200000,7,699,1,6584200000,1,6591220000,64,5592060000,0,0
23,6592200000,7,699,6591220000,6591000000,6591200000,1,6591299000,2,1,699
20,6599220000,7,700,6579000000,6599200000,3,1,64,0,0,0
21,6599310000,7,700,6599300000,6599220000,1,0,6599310000,0,6599299000,3
21,6599330000,7,700,6599320000,6599220000,2,0,6599330000,0,6599319000,3
22,6600200000,7,700,1,6592200000,1,6599220000,64,5600060000,0,0
23,6600200000,7,700,6599220000,6579000000,6599200000,3,6599299000,2,1,700
20,6607220000,7,701,6607000000,6607200000,1,1,64,0,0,0
21,6607310000,7,701,6607300000,6607220000,1,0,6607310000,0,6607299000,1
21,6607330000,7,701,6607320000,6607220000,2,0,6607330000,0,6607319000,1
