# doritrack schema=2 source=android transport=synthetic-wifi synthetic=true motion_event_precision_ns=1000000 driver_low_latency=unverified ap_wmm=unverified
# dropped=0 omitted_incidents=0 omitted_evidence=0
kind,at_ns,session,sequence,a,b,c,d,e,f,g,h
21,8799330000,7,975,8799320000,8799220000,2,0,8799330000,0,8799319000,1
22,8800200000,7,975,1,8792200000,1,8799220000,64,7800060000,0,0
23,8800200000,7,975,8799220000,8799000000,8799200000,1,8799299000,2,1,975
20,8807220000,7,976,8807000000,8807200000,3,1,64,0,0,0
21,8807310000,7,976,8807300000,8807220000,1,0,8807310000,0,8807299000,3
21,8807330000,7,976,8807320000,8807220000,2,0,8807330000,0,8807319000,3
22,8808200000,7,976,1,8800200000,1,8807220000,64,7808060000,0,0
23,8808200000,7,976,8807220000,8807000000,8807200000,3,8807299000,2,1,976
20,8815220000,7,977,8815000000,8815200000,1,1,64,0,0,0
21,8815310000,7,977,8815300000,8815220000,1,0,8815310000,0,8815299000,1
21,8815330000,7,977,8815320000,8815220000,2,0,8815330000,0,8815319000,1
22,8816200000,7,977,1,8808200000,1,8815220000,64,7816060000,0,0
23,8816200000,7,977,8815220000,8815000000,8815200000,1,8815299000,2,1,977
20,8823220000,7,978,8823000000,8823200000,1,1,64,0,0,0
21,8823310000,7,978,8823300000,8823220000,1,0,8823310000,0,8823299000,1
21,8823330000,7,978,8823320000,8823220000,2,0,8823330000,0,8823319000,1
22,8824200000,7,978,1,8816200000,1,8823220000,64,7824060000,0,0
23,8824200000,7,978,8823220000,8823000000,8823200000,1,8823299000,2,1,978
20,8831220000,7,979,8831000000,8831200000,1,1,64,0,0,0
21,8831310000,7,979,8831300000,8831220000,1,0,8831310000,0,8831299000,1
21,8831330000,7,979,8831320000,8831220000,2,0,8831330000,0,8831319000,1
22,8832200000,7,979,1,8824200000,1,8831220000,64,7832060000,0,0
23,8832200000,7,979,8831220000,8831000000,8831200000,1,8831299000,2,1,979
20,8839220000,7,980,8839000000,8839200000,1,1,64,0,0,0
21,8839310000,7,980,8839300000,8839220000,1,0,8839310000,0,8839299000,1
21,8839330000,7,980,8839320000,8839220000,2,0,8839330000,0,8839319000,1
22,8840200000,7,980,1,8832200000,1,8839220000,64,7840060000,0,0
23,8840200000,7,980,8839220000,8839000000,8839200000,1,8839299000,2,1,980
20,8847220000,7,981,8847000000,8847200000,1,1,64,0,0,0
21,8847310000,7,981,8847300000,8847220000,1,0,8847310000,0,8847299000,1
21,8847330000,7,981,8847320000,8847220000,2,0,8847330000,0,8847319000,1
22,8848200000,7,981,1,8840200000,1,8847220000,64,7848060000,0,0
23,8848200000,7,981,8847220000,8847000000,8847200000,1,8847299000,2,1,981
20,8855220000,7,982,8855000000,8855200000,1,1,64,0,0,0
21,8855310000,7,982,8855300000,8855220000,1,0,8855310000,0,8855299000,1
21,8855330000,7,982,8855320000,8855220000,2,0,8855330000,0,8855319000,1
22,8856200000,7,982,1,8848200000,1,8855220000,64,7856060000,0,0
23,8856200000,7,982,8855220000,8855000000,8855200000,1,8855299000,2,1,982
20,8863220000,7,983,8863000000,8863200000,1,1,64,0,0,0
21,8863310000,7,983,8863300000,8863220000,1,0,8863310000,0,8863299000,1
21,8863330000,7,983,8863320000,8863220000,2,0,8863330000,0,8863319000,1
22,8864200000,7,983,1,8856200000,1,8863220000,64,7864060000,0,0
23,8864200000,7,983,8863220000,8863000000,8863200000,1,8863299000,2,1,983
20,8871220000,7,984,8871000000,8871200000,1,1,64,0,0,0
21,8871310000,7,984,8871300000,8871220000,1,0,8871310000,0,8871299000,1
21,8871330000,7,984,8871320000,8871220000,2,0,8871330000,0,8871319000,1
22,8872200000,7,984,1,8864200000,1,8871220000,64,7872060000,0,0
23,8872200000,7,984,8871220000,8871000000,8871200000,1,8871299000,2,1,984
20,8879220000,7,985,8879000000,8879200000,1,1,64,0,0,0
21,8879310000,7,985,8879300000,8879220000,1,0,8879310000,0,8879299000,1
21,8879330000,7,985,8879320000,8879220000,2,0,8879330000,0,8879319000,1
22,8880200000,7,985,1,8872200000,1,8879220000,64,7880060000,0,0
23,8880200000,7,985,8879220000,8879000000,8879200000,1,8879299000,2,1,985
20,8887220000,7,986,8887000000,8887200000,1,1,64,0,0,0
21,8887310000,7,986,8887300000,8887220000,1,0,8887310000,0,8887299000,1
21,8887330000,7,986,8887320000,8887220000,2,0,8887330000,0,8887319000,1
22,8888200000,7,986,1,8880200000,1,8887220000,64,7888060000,0,0
23,8888200000,7,986,8887220000,8887000000,8887200000,1,8887299000,2,1,986
20,8895220000,7,987,8895000000,8895200000,1,1,64,0,0,0
21,8895310000,7,987,8895300000,8895220000,1,0,8895310000,0,8895299000,1
21,8895330000,7,987,8895320000,8895220000,2,0,8895330000,0,8895319000,1
22,8896200000,7,987,1,8888200000,1,8895220000,64,7896060000,0,0
23,8896200000,7,987,8895220000,8895000000,8895200000,1,8895299000,2,1,987
20,8903220000,7,988,8903000000,8903200000,1,1,64,0,0,0
21,8903310000,7,988,8903300000,8903220000,1,0,8903310000,0,8903299000,1
21,8903330000,7,988,8903320000,8903220000,2,0,8903330000,0,8903319000,1
22,8904200000,7,988,1,8896200000,1,8903220000,64,7904060000,0,0
23,8904200000,7,988,8903220000,8903000000,8903200000,1,8903299000,2,1,988
20,8911220000,7,989,8911000000,8911200000,1,1,64,0,0,0
21,8911310000,7,989,8911300000,8911220000,1,0,8911310000,0,8911299000,1
21,8911330000,7,989,8911320000,8911220000,2,0,8911330000,0,8911319000,1
22,8912200000,7,989,1,8904200000,1,8911220000,64,7912060000,0,0
23,8912200000,7,989,8911220000,8911000000,8911200000,1,8911299000,2,1,989
20,8919220000,7,990,8919000000,8919200000,1,1,64,0,0,0
21,8919310000,7,990,8919300000,8919220000,1,0,8919310000,0,8919299000,1
21,8919330000,7,990,8919320000,8919220000,2,0,8919330000,0,8919319000,1
22,8920200000,7,990,1,8912200000,1,8919220000,64,7920060000,0,0
23,8920200000,7,990,8919220000,8919000000,8919200000,1,8919299000,2,1,990
20,8927220000,7,991,8927000000,8927200000,1,1,64,0,0,0
21,8927310000,7,991,8927300000,8927220000,1,0,8927310000,0,8927299000,1
21,8927330000,7,991,8927320000,8927220000,2,0,8927330000,0,8927319000,1
22,8928200000,7,991,1,8920200000,1,8927220000,64,7928060000,0,0
23,8928200000,7,991,8927220000,8927000000,8927200000,1,8927299000,2,1,991
20,8935220000,7,992,8935000000,8935200000,3,1,64,0,0,0
21,8935310000,7,992,8935300000,8935220000,1,0,8935310000,0,8935299000,3
21,8935330000,7,992,8935320000,8935220000,2,0,8935330000,0,8935319000,3
22,8936200000,7,992,1,8928200000,1,8935220000,64,7936060000,0,0
23,8936200000,7,992,8935220000,8935000000,8935200000,3,8935299000,2,1,992
20,8943220000,7,993,8943000000,8943200000,1,1,64,0,0,0
21,8943310000,7,993,8943300000,8943220000,1,0,8943310000,0,8943299000,1
21,8943330000,7,993,8943320000,8943220000,2,0,8943330000,0,8943319000,1
22,8944200000,7,993,1,8936200000,1,8943220000,64,7944060000,0,0
23,8944200000,7,993,8943220000,8943000000,8943200000,1,8943299000,2,1,993
20,8951220000,7,994,8951000000,8951200000,1,1,64,0,0,0
21,8951310000,7,994,8951300000,8951220000,1,0,8951310000,0,8951299000,1
21,8951330000,7,994,8951320000,8951220000,2,0,8951330000,0,8951319000,1
22,8952200000,7,994,1,8944200000,1,8951220000,64,7952060000,0,0
23,8952200000,7,994,8951220000,8951000000,8951200000,1,8951299000,2,1,994
20,8959220000,7,995,8959000000,8959200000,1,1,64,0,0,0
21,8959310000,7,995,8959300000,8959220000,1,0,8959310000,0,8959299000,1
21,8959330000,7,995,8959320000,8959220000,2,0,8959330000,0,8959319000,1
22,8960200000,7,995,1,8952200000,1,8959220000,64,7960060000,0,0
23,8960200000,7,995,8959220000,8959000000,8959200000,1,8959299000,2,1,995
20,8967220000,7,996,8967000000,8967200000,1,1,64,0,0,0
21,8967310000,7,996,8967300000,8967220000,1,0,8967310000,0,8967299000,1
21,8967330000,7,996,8967320000,8967220000,2,0,8967330000,0,8967319000,1
22,8968200000,7,996,1,8960200000,1,8967220000,64,7968060000,0,0
23,8968200000,7,996,8967220000,8967000000,8967200000,1,8967299000,2,1,996
20,8975220000,7,997,8975000000,8975200000,1,1,64,0,0,0
21,8975310000,7,997,8975300000,8975220000,1,0,8975310000,0,8975299000,1
21,8975330000,7,997,8975320000,8975220000,2,0,8975330000,0,8975319000,1
22,8976200000,7,997,1,8968200000,1,8975220000,64,7976060000,0,0
23,8976200000,7,997,8975220000,8975000000,8975200000,1,8975299000,2,1,997
20,8983220000,7,998,8983000000,8983200000,1,1,64,0,0,0
21,8983310000,7,998,8983300000,8983220000,1,0,8983310000,0,8983299000,1
21,8983330000,7,998,8983320000,8983220000,2,0,8983330000,0,8983319000,1
22,8984200000,7,998,1,8976200000,1,8983220000,64,7984060000,0,0
23,8984200000,7,998,8983220000,8983000000,8983200000,1,8983299000,2,1,998
20,8991220000,7,999,8991000000,8991200000,1,1,64,0,0,0
21,8991310000,7,999,8991300000,8991220000,1,0,8991310000,0,8991299000,1
21,8991330000,7,999,8991320000,8991220000,2,0,8991330000,0,8991319000,1
22,8992200000,7,999,1,8984200000,1,8991220000,64,7992060000,0,0
23,8992200000,7,999,8991220000,8991000000,8991200000,1,8991299000,2,1,999
20,8999220000,7,1000,8999000000,8999200000,1,1,64,0,0,0
21,8999310000,7,1000,8999300000,8999220000,1,0,8999310000,0,8999299000,1
21,8999330000,7,1000,8999320000,8999220000,2,0,8999330000,0,8999319000,1
22,9000200000,7,1000,1,8992200000,1,8999220000,64,8000060000,0,0
23,9000200000,7,1000,8999220000,8999000000,8999200000,1,8999299000,2,1,1000
